id,org_name,branch,level_1_code,level_1_value,level_2_code,level_2_value,level_3_code,level_3_value,parent_org_id,parent_org_name,top_org_id,top_org_name,province_code,city_code,district_code,create_time,enabled,address
C1010233007618,中国工商银行股份有限公司宁波市分行营业部,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市中山西路218号新兴大厦
C1010233007629,中国工商银行股份有限公司宁波江北支行宁波大学储蓄所,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市江北区宁波大学东大门外商贸街
C1010233007630,中国工商银行股份有限公司宁波保税区支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133016279,中国人民银行北仑支行,330000,330200,330206,2010/1/1,正常,宁波市北仑区庐山西路96号
C1010233007641,中国工商银行股份有限公司宁波大榭支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133016279,中国人民银行北仑支行,330000,330200,330206,2010/1/1,正常,宁波市北仑区宁波大榭开发区信拓路209号
C1010233007652,中国工商银行股份有限公司宁波经济技术开发区支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007527,中国工商银行股份有限公司宁波北仑分行,A1000133016279,中国人民银行北仑支行,330000,330200,330206,2010/1/1,正常,浙江省宁波开发区金融裙楼
C1010233007663,中国工商银行股份有限公司宁波鄞中支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州中心区贸城东路631号
C1010233007674,中国工商银行股份有限公司余姚泗门支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007549,中国工商银行股份有限公司余姚分行,A1000133000658,中国人民银行余姚市支行,330000,330200,330281,2010/1/1,正常,余姚市泗门镇光明南路125-133号
C1010233007685,中国工商银行股份有限公司宁波杭州湾新区支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000660,中国人民银行慈溪市支行,330000,330200,330282,2010/1/1,正常,宁波杭州湾新区滨海二路917、919、921号
C1010233007696,中国工商银行股份有限公司宁波开明支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市开明街299号
C1010233007709,中国工商银行股份有限公司宁波亚城支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市开明街162号
C1010233007710,中国工商银行股份有限公司宁波朝阳支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市海曙区长春路2号副楼一楼(由西向东1-3门面)
C1010233007721,中国工商银行股份有限公司宁波天水支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市江北区康庄南路62-68号
C1010233007743,中国工商银行股份有限公司宁波横街支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市鄞州区横街镇原供销大楼一楼
C1010233007754,中国工商银行股份有限公司宁波世纪苑支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市海曙区丽园南路100号
C1010233007765,中国工商银行股份有限公司宁波白云支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市蓝天路113号
C1010233007776,中国工商银行股份有限公司宁波中山东路支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区中兴路572-576号（双号）
C1010233007798,中国工商银行股份有限公司宁波南苑支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市南苑街209，211号
C1010233007801,中国工商银行股份有限公司宁波南雅支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007479,中国工商银行股份有限公司宁波东门支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市苍松路598号
C1010233007812,中国工商银行股份有限公司宁波东湖支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,浙江省宁波市鄞州区长寿南路256—258号
C1010233007834,中国工商银行股份有限公司宁波西河支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市海曙区孝闻街143-149号
C1010233007845,中国工商银行股份有限公司宁波青林湾支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市海曙区青林湾街55-59号（单号）
C1010233007856,中国工商银行股份有限公司宁波万安支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,浙江省宁波市海曙区翠柏路197号
C1010233007867,中国工商银行股份有限公司宁波马园支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,浙江省宁波市马园路132号
C1010233007878,中国工商银行股份有限公司宁波丽园北路支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市海曙区丽园北路1579号
C1010233007889,中国工商银行股份有限公司宁波城西支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,浙江省宁波市环城西路北段241号
C1010233007890,中国工商银行股份有限公司慈溪胜山支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330282,2010/1/1,正常,慈溪市胜山镇马潭路366-369号
C1010233007903,中国工商银行股份有限公司宁波南大支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,浙江省宁波市镇明路248号
C1010233007914,中国工商银行股份有限公司慈溪宗汉支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007550,中国工商银行股份有限公司慈溪分行,A1000133000660,中国人民银行慈溪市支行,330000,330200,330282,2010/1/1,正常,慈溪市宗汉街道北二环西路473-483号
C1010233007925,中国工商银行股份有限公司宁波新城支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市河清北路295号
C1010233007936,中国工商银行股份有限公司宁波彩虹支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区彩虹北路2号西楼一楼
C1010233007947,中国工商银行股份有限公司宁波凤凰支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007958,中国工商银行股份有限公司宁波兴宁支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市甬港南路249号
C1010233007958,中国工商银行股份有限公司宁波兴宁支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市鄞州区彩虹南路236号（一层、二层）
C1010233007969,中国工商银行股份有限公司宁波天园支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007925,中国工商银行股份有限公司宁波新城支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市惊驾路802号
